id,title,genres,vote_average,vote_count,popularity,release_date,budget,revenue,cast,keywords,genres_str,cast_str,keywords_str,profit,roi,year,success_score
1007757,Swapped,"['Adventure', 'Animation', 'Family', 'Fantasy']",8.944,598,444.1758,2026-05-01,,,"['Michael B. Jordan', 'Juno Temple', 'Tracy Morgan', 'Cedric the Entertainer', 'Justina Machado', 'Nate Torrence']","['wolf', 'buddy', 'forest fire', 'woodlands', 'forest lore', 'relaxed', 'bird', '3d animation']","Adventure, Animation, Family, Fantasy","Michael B. Jordan, Juno Temple, Tracy Morgan, Cedric the Entertainer, Justina Machado","wolf, buddy, forest fire, woodlands, forest lore, relaxed, bird, 3d animation",,,2026.0,254.06509184522952
1226863,The Super Mario Galaxy Movie,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",6.711,812,411.1512,2026-04-01,110000000.0,940914435.0,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Donald Glover', 'Benny Safdie']","['galaxy', 'friendship', 'sibling relationship', 'space travel', 'turtle', 'sequel', 'slapstick comedy', 'robot']","Family, Comedy, Adventure, Fantasy, Animation","Chris Pratt, Anya Taylor-Joy, Charlie Day, Jack Black, Donald Glover","galaxy, friendship, sibling relationship, space travel, turtle, sequel, slapstick comedy, robot",830914435.0,7.553767590909091,2026.0,184.8889651500727
1318447,Apex,"['Action', 'Thriller']",6.584,869,327.8417,2026-04-24,,,"['Charlize Theron', 'Taron Egerton', 'Eric Bana', 'Caitlin Stasey', 'Bessie Holland', 'Zachary Garred']","['canoe trip', 'rock climbing', 'nutcase', 'survival instinct', 'australian wilderness', 'missing persons case', 'cat‑and‑mouse chase', 'dangerous threat']","Action, Thriller","Charlize Theron, Taron Egerton, Eric Bana, Caitlin Stasey, Bessie Holland","canoe trip, rock climbing, nutcase, survival instinct, australian wilderness, missing persons case, cat‑and‑mouse chase, dangerous threat",,,2026.0,146.09858609104162
687163,Project Hail Mary,"['Science Fiction', 'Adventure']",8.313,2383,308.2764,2026-03-15,200000000.0,656302282.0,"['Ryan Gosling', 'Sandra Hüller', 'James Ortiz', 'Lionel Boyce', 'Milana Vayntrub', 'Ken Leung']","['friendship', 'coma', 'based on novel or book', 'bravery', 'sun', 'language barrier', 'space travel', 'space mission']","Science Fiction, Adventure","Ryan Gosling, Sandra Hüller, James Ortiz, Lionel Boyce, Milana Vayntrub","friendship, coma, based on novel or book, bravery, sun, language barrier, space travel, space mission",456302282.0,2.28151141,2026.0,199.2893963949013
350,The Devil Wears Prada,"['Drama', 'Comedy']",7.399,13305,284.2322,2006-06-29,35000000.0,326588371.0,"['Meryl Streep', 'Anne Hathaway', 'Emily Blunt', 'Stanley Tucci', 'Simon Baker', 'Adrian Grenier']","['new york city', 'journalist', 'paris, france', 'based on novel or book', 'journalism', 'fashion journal', 'assistant', 'job entrant']","Drama, Comedy","Meryl Streep, Anne Hathaway, Emily Blunt, Stanley Tucci, Simon Baker","new york city, journalist, paris, france, based on novel or book, journalism, fashion journal, assistant, job entrant",291588371.0,8.331096314285714,2006.0,199.70348942553704
1198994,Send Help,"['Horror', 'Thriller', 'Comedy']",7.03,1331,246.0221,2026-01-22,40000000.0,94041481.0,"['Rachel McAdams', ""Dylan O'Brien"", 'Edyll Ismail', 'Dennis Haysbert', 'Xavier Samuel', 'Chris Pang']","['bullying', 'role reversal', 'survival', 'struggle for survival', 'survival horror', 'deserted island', 'power struggle', 'colleagues']","Horror, Thriller, Comedy","Rachel McAdams, Dylan O'Brien, Edyll Ismail, Dennis Haysbert, Xavier Samuel","bullying, role reversal, survival, struggle for survival, survival horror, deserted island, power struggle, colleagues",54041481.0,1.351037025,2026.0,124.43032950848395
1523145,Your Heart Will Be Broken,"['Romance', 'Drama']",6.9,76,235.0864,2026-03-26,3716000.0,7578000.0,"['Daniel Vegas', 'Veronika Zhuravleva', 'Ivan Trushin', 'Maksim Saprykin', 'Alya Mayer', 'Evgeniya Loza']","['based on novel or book', 'appreciative']","Romance, Drama","Daniel Vegas, Veronika Zhuravleva, Ivan Trushin, Maksim Saprykin, Alya Mayer","based on novel or book, appreciative",3862000.0,1.0392895586652315,2026.0,70.46070094576042
931285,Mortal Kombat II,"['Action', 'Fantasy', 'Adventure']",7.191,118,223.5434,2026-05-06,80000000.0,60001177.0,"['Karl Urban', 'Adeline Rudolph', 'Jessica McNamee', 'Ludi Lin', 'Mehcad Brooks', 'Josh Lawson']","['martial arts', 'magic', 'ninja fighter', 'gore', 'sequel', 'god', 'alternate dimension', 'ninja']","Action, Fantasy, Adventure","Karl Urban, Adeline Rudolph, Jessica McNamee, Ludi Lin, Mehcad Brooks","martial arts, magic, ninja fighter, gore, sequel, god, alternate dimension, ninja",-19998823.0,-0.2499852875,2026.0,76.8244383199217
1630423,My Dearest Assassin,"['Action', 'Drama', 'Romance']",8.321,70,206.6206,2026-05-06,,,"['Pimchanok Luevisadpaibul', 'Thanapob Leeratanakachorn', 'Sivakorn Adulsuttikul', 'Chartayodom Hiranyatithi', 'Theerachai Wimolchaireuk', 'Teerawat Mulvilai']","['cynical', 'brisk']","Action, Drama, Romance","Pimchanok Luevisadpaibul, Thanapob Leeratanakachorn, Sivakorn Adulsuttikul, Chartayodom Hiranyatithi, Theerachai Wimolchaireuk","cynical, brisk",,,2026.0,73.28782939508129
318256,Hot Girls Wanted,['Documentary'],6.1,718,229.8024,2015-01-24,,,"['Stella May', 'Brian Omally', 'Ava Taylor', 'John Anthony', 'Kelly Silguero', 'Emeterio Silguero']","['porn star', 'softcore', 'craigslist', 'woman director', 'adult filmmaking', 'sex trade', 'adult']",Documentary,"Stella May, Brian Omally, Ava Taylor, John Anthony, Kelly Silguero","porn star, softcore, craigslist, woman director, adult filmmaking, sex trade, adult",,,2015.0,92.20810793916486
