id,title,genres,vote_average,vote_count,popularity,release_date,budget,revenue,cast,keywords
1007757,Swapped,"['Adventure', 'Animation', 'Family', 'Fantasy']",8.944,598,444.1758,2026-05-01,0,0,"['Michael B. Jordan', 'Juno Temple', 'Tracy Morgan', 'Cedric the Entertainer', 'Justina Machado', 'Nate Torrence']","['wolf', 'buddy', 'forest fire', 'woodlands', 'forest lore', 'relaxed', 'bird', '3d animation']"
1226863,The Super Mario Galaxy Movie,"['Family', 'Comedy', 'Adventure', 'Fantasy', 'Animation']",6.711,812,411.1512,2026-04-01,110000000,940914435,"['Chris Pratt', 'Anya Taylor-Joy', 'Charlie Day', 'Jack Black', 'Donald Glover', 'Benny Safdie']","['galaxy', 'friendship', 'sibling relationship', 'space travel', 'turtle', 'sequel', 'slapstick comedy', 'robot']"
1318447,Apex,"['Action', 'Thriller']",6.584,869,327.8417,2026-04-24,0,0,"['Charlize Theron', 'Taron Egerton', 'Eric Bana', 'Caitlin Stasey', 'Bessie Holland', 'Zachary Garred']","['canoe trip', 'rock climbing', 'nutcase', 'survival instinct', 'australian wilderness', 'missing persons case', 'cat‑and‑mouse chase', 'dangerous threat']"
687163,Project Hail Mary,"['Science Fiction', 'Adventure']",8.313,2383,308.2764,2026-03-15,200000000,656302282,"['Ryan Gosling', 'Sandra Hüller', 'James Ortiz', 'Lionel Boyce', 'Milana Vayntrub', 'Ken Leung']","['friendship', 'coma', 'based on novel or book', 'bravery', 'sun', 'language barrier', 'space travel', 'space mission']"
350,The Devil Wears Prada,"['Drama', 'Comedy']",7.399,13305,284.2322,2006-06-29,35000000,326588371,"['Meryl Streep', 'Anne Hathaway', 'Emily Blunt', 'Stanley Tucci', 'Simon Baker', 'Adrian Grenier']","['new york city', 'journalist', 'paris, france', 'based on novel or book', 'journalism', 'fashion journal', 'assistant', 'job entrant']"
1198994,Send Help,"['Horror', 'Thriller', 'Comedy']",7.03,1331,246.0221,2026-01-22,40000000,94041481,"['Rachel McAdams', ""Dylan O'Brien"", 'Edyll Ismail', 'Dennis Haysbert', 'Xavier Samuel', 'Chris Pang']","['bullying', 'role reversal', 'survival', 'struggle for survival', 'survival horror', 'deserted island', 'power struggle', 'colleagues']"
1523145,Your Heart Will Be Broken,"['Romance', 'Drama']",6.9,76,235.0864,2026-03-26,3716000,7578000,"['Daniel Vegas', 'Veronika Zhuravleva', 'Ivan Trushin', 'Maksim Saprykin', 'Alya Mayer', 'Evgeniya Loza']","['based on novel or book', 'appreciative']"
931285,Mortal Kombat II,"['Action', 'Fantasy', 'Adventure']",7.191,118,223.5434,2026-05-06,80000000,60001177,"['Karl Urban', 'Adeline Rudolph', 'Jessica McNamee', 'Ludi Lin', 'Mehcad Brooks', 'Josh Lawson']","['martial arts', 'magic', 'ninja fighter', 'gore', 'sequel', 'god', 'alternate dimension', 'ninja']"
1630423,My Dearest Assassin,"['Action', 'Drama', 'Romance']",8.321,70,206.6206,2026-05-06,0,0,"['Pimchanok Luevisadpaibul', 'Thanapob Leeratanakachorn', 'Sivakorn Adulsuttikul', 'Chartayodom Hiranyatithi', 'Theerachai Wimolchaireuk', 'Teerawat Mulvilai']","['cynical', 'brisk']"
318256,Hot Girls Wanted,['Documentary'],6.1,718,229.8024,2015-01-24,0,0,"['Stella May', 'Brian Omally', 'Ava Taylor', 'John Anthony', 'Kelly Silguero', 'Emeterio Silguero']","['porn star', 'softcore', 'craigslist', 'woman director', 'adult filmmaking', 'sex trade', 'adult']"
